name	type	source	detector	wavelength_nominal	units	sampling_frequency
S1-D1	NIRSCWAMPLITUDE	1	1	685	n/a	10.4166666666667
S2-D1	NIRSCWAMPLITUDE	2	1	685	n/a	10.4166666666667
S3-D1	NIRSCWAMPLITUDE	3	1	685	n/a	10.4166666666667
S5-D1	NIRSCWAMPLITUDE	5	1	685	n/a	10.4166666666667
S6-D1	NIRSCWAMPLITUDE	6	1	685	n/a	10.4166666666667
S7-D1	NIRSCWAMPLITUDE	7	1	685	n/a	10.4166666666667
S9-D1	NIRSCWAMPLITUDE	9	1	685	n/a	10.4166666666667
S10-D1	NIRSCWAMPLITUDE	10	1	685	n/a	10.4166666666667
S11-D1	NIRSCWAMPLITUDE	11	1	685	n/a	10.4166666666667
S13-D1	NIRSCWAMPLITUDE	13	1	685	n/a	10.4166666666667
S14-D1	NIRSCWAMPLITUDE	14	1	685	n/a	10.4166666666667
S1-D2	NIRSCWAMPLITUDE	1	2	685	n/a	10.4166666666667
S2-D2	NIRSCWAMPLITUDE	2	2	685	n/a	10.4166666666667
S3-D2	NIRSCWAMPLITUDE	3	2	685	n/a	10.4166666666667
S4-D2	NIRSCWAMPLITUDE	4	2	685	n/a	10.4166666666667
S5-D2	NIRSCWAMPLITUDE	5	2	685	n/a	10.4166666666667
S6-D2	NIRSCWAMPLITUDE	6	2	685	n/a	10.4166666666667
S7-D2	NIRSCWAMPLITUDE	7	2	685	n/a	10.4166666666667
S8-D2	NIRSCWAMPLITUDE	8	2	685	n/a	10.4166666666667
S9-D2	NIRSCWAMPLITUDE	9	2	685	n/a	10.4166666666667
S10-D2	NIRSCWAMPLITUDE	10	2	685	n/a	10.4166666666667
S11-D2	NIRSCWAMPLITUDE	11	2	685	n/a	10.4166666666667
S12-D2	NIRSCWAMPLITUDE	12	2	685	n/a	10.4166666666667
S13-D2	NIRSCWAMPLITUDE	13	2	685	n/a	10.4166666666667
S14-D2	NIRSCWAMPLITUDE	14	2	685	n/a	10.4166666666667
S15-D2	NIRSCWAMPLITUDE	15	2	685	n/a	10.4166666666667
S1-D3	NIRSCWAMPLITUDE	1	3	685	n/a	10.4166666666667
S2-D3	NIRSCWAMPLITUDE	2	3	685	n/a	10.4166666666667
S3-D3	NIRSCWAMPLITUDE	3	3	685	n/a	10.4166666666667
S4-D3	NIRSCWAMPLITUDE	4	3	685	n/a	10.4166666666667
S5-D3	NIRSCWAMPLITUDE	5	3	685	n/a	10.4166666666667
S6-D3	NIRSCWAMPLITUDE	6	3	685	n/a	10.4166666666667
S7-D3	NIRSCWAMPLITUDE	7	3	685	n/a	10.4166666666667
S8-D3	NIRSCWAMPLITUDE	8	3	685	n/a	10.4166666666667
S9-D3	NIRSCWAMPLITUDE	9	3	685	n/a	10.4166666666667
S10-D3	NIRSCWAMPLITUDE	10	3	685	n/a	10.4166666666667
S11-D3	NIRSCWAMPLITUDE	11	3	685	n/a	10.4166666666667
S12-D3	NIRSCWAMPLITUDE	12	3	685	n/a	10.4166666666667
S13-D3	NIRSCWAMPLITUDE	13	3	685	n/a	10.4166666666667
S14-D3	NIRSCWAMPLITUDE	14	3	685	n/a	10.4166666666667
