name	type	source	detector	wavelength_nominal	units	sampling_frequency
S1-D1	NIRSCWAMPLITUDE	1	1	750	n/a	10.0004695931344
S2-D1	NIRSCWAMPLITUDE	2	1	750	n/a	10.0004695931344
S3-D1	NIRSCWAMPLITUDE	3	1	750	n/a	10.0004695931344
S5-D1	NIRSCWAMPLITUDE	5	1	750	n/a	10.0004695931344
S6-D1	NIRSCWAMPLITUDE	6	1	750	n/a	10.0004695931344
S7-D1	NIRSCWAMPLITUDE	7	1	750	n/a	10.0004695931344
S9-D1	NIRSCWAMPLITUDE	9	1	750	n/a	10.0004695931344
S10-D1	NIRSCWAMPLITUDE	10	1	750	n/a	10.0004695931344
S11-D1	NIRSCWAMPLITUDE	11	1	750	n/a	10.0004695931344
S13-D1	NIRSCWAMPLITUDE	13	1	750	n/a	10.0004695931344
S14-D1	NIRSCWAMPLITUDE	14	1	750	n/a	10.0004695931344
S1-D2	NIRSCWAMPLITUDE	1	2	750	n/a	10.0004695931344
S2-D2	NIRSCWAMPLITUDE	2	2	750	n/a	10.0004695931344
S3-D2	NIRSCWAMPLITUDE	3	2	750	n/a	10.0004695931344
S4-D2	NIRSCWAMPLITUDE	4	2	750	n/a	10.0004695931344
S5-D2	NIRSCWAMPLITUDE	5	2	750	n/a	10.0004695931344
S6-D2	NIRSCWAMPLITUDE	6	2	750	n/a	10.0004695931344
S7-D2	NIRSCWAMPLITUDE	7	2	750	n/a	10.0004695931344
S8-D2	NIRSCWAMPLITUDE	8	2	750	n/a	10.0004695931344
S9-D2	NIRSCWAMPLITUDE	9	2	750	n/a	10.0004695931344
S10-D2	NIRSCWAMPLITUDE	10	2	750	n/a	10.0004695931344
S11-D2	NIRSCWAMPLITUDE	11	2	750	n/a	10.0004695931344
S12-D2	NIRSCWAMPLITUDE	12	2	750	n/a	10.0004695931344
S13-D2	NIRSCWAMPLITUDE	13	2	750	n/a	10.0004695931344
S14-D2	NIRSCWAMPLITUDE	14	2	750	n/a	10.0004695931344
S15-D2	NIRSCWAMPLITUDE	15	2	750	n/a	10.0004695931344
S1-D3	NIRSCWAMPLITUDE	1	3	750	n/a	10.0004695931344
S2-D3	NIRSCWAMPLITUDE	2	3	750	n/a	10.0004695931344
S3-D3	NIRSCWAMPLITUDE	3	3	750	n/a	10.0004695931344
S4-D3	NIRSCWAMPLITUDE	4	3	750	n/a	10.0004695931344
S5-D3	NIRSCWAMPLITUDE	5	3	750	n/a	10.0004695931344
S6-D3	NIRSCWAMPLITUDE	6	3	750	n/a	10.0004695931344
S7-D3	NIRSCWAMPLITUDE	7	3	750	n/a	10.0004695931344
S8-D3	NIRSCWAMPLITUDE	8	3	750	n/a	10.0004695931344
S9-D3	NIRSCWAMPLITUDE	9	3	750	n/a	10.0004695931344
S10-D3	NIRSCWAMPLITUDE	10	3	750	n/a	10.0004695931344
S11-D3	NIRSCWAMPLITUDE	11	3	750	n/a	10.0004695931344
S12-D3	NIRSCWAMPLITUDE	12	3	750	n/a	10.0004695931344
S13-D3	NIRSCWAMPLITUDE	13	3	750	n/a	10.0004695931344
S14-D3	NIRSCWAMPLITUDE	14	3	750	n/a	10.0004695931344
S15-D3	NIRSCWAMPLITUDE	15	3	750	n/a	10.0004695931344
S16-D3	NIRSCWAMPLITUDE	16	3	750	n/a	10.0004695931344
S1-D4	NIRSCWAMPLITUDE	1	4	750	n/a	10.0004695931344
S2-D4	NIRSCWAMPLITUDE	2	4	750	n/a	10.0004695931344
S3-D4	NIRSCWAMPLITUDE	3	4	750	n/a	10.0004695931344
S4-D4	NIRSCWAMPLITUDE	4	4	750	n/a	10.0004695931344
S5-D4	NIRSCWAMPLITUDE	5	4	750	n/a	10.0004695931344
S6-D4	NIRSCWAMPLITUDE	6	4	750	n/a	10.0004695931344
S7-D4	NIRSCWAMPLITUDE	7	4	750	n/a	10.0004695931344
S8-D4	NIRSCWAMPLITUDE	8	4	750	n/a	10.0004695931344
S9-D4	NIRSCWAMPLITUDE	9	4	750	n/a	10.0004695931344
S10-D4	NIRSCWAMPLITUDE	10	4	750	n/a	10.0004695931344
S11-D4	NIRSCWAMPLITUDE	11	4	750	n/a	10.0004695931344
S12-D4	NIRSCWAMPLITUDE	12	4	750	n/a	10.0004695931344
S14-D4	NIRSCWAMPLITUDE	14	4	750	n/a	10.0004695931344
